code,name_zh,name_en,comment
00,能源,Energy,
0001,能源,Energy,
000101,能源开采设备与服务,Energy Equipment & Services,
00010101,石油与天然气钻井,Oil & Gas Drilling,承包钻井服务的钻井承包商或拥有钻机的公司。
00010102,石油与天然气开采设备与服务,Oil & Gas Equipment & Services,包括钻机及钻井设备在内的设备制造商，以及向那些涉及石油与天然气井的钻探、评估和完井的公司提供用品和服务的公司。
000102,石油与天然气,Oil & Gas,
00010201,综合性石油与天然气企业,Integrated Oil & Gas,从事石油及天然气勘探与生产，并且至少在以下某一领域有大量业务：炼制、营销、运输或者石油化工的综合性石油公司。
00010202,石油与天然气的勘探与生产,Oil & Gas Exploration & Production,从事石油及天然气勘探与生产（未归类于别处）的公司。 
00010203,石油与天然气的炼制和营销,Oil & Gas Refining & Marketing,从事石油、天然气和/或炼制产品的炼制和营销（未归类于“综合性石油与天然气企业”）的公司。
00010204,石油与天然气的储存和运输,Oil & Gas Storage & Transportation,从事石油、天然气和/或炼制产品储存和运输的公司。包括那些面对竞争市场经营中游业务的多元化天然气公司、石油和炼制产品管道公司、煤泥管道公司以及石油与天然气运输公司。
000103,煤炭,Coal,
00010301,煤炭,Coal,主要从事生产与开采煤以及相关产品。
01,原材料,Materials,
0101,原材料,Materials,
010101,化学原料,Chemical Materials,
01010101,化学原料,Chemical Materials,主要从事生产化工原料的公司。
010102,化学制品,Chemicals,
01010201,涂料涂漆,Paint,主要从事生产涂料和油漆的公司。
01010202,塑料制品,Plastics,主要从事生产塑料化学制品的公司。
01010203,橡胶制品,Rubber,主要从事生产橡胶化学制品的公司，不包括生产轮胎的公司。
01010204,印染化学品,Dyeing?and?Printing Chemicals,主要从事生产印染化学制品的公司。
01010205,纤维及树脂,Fiber and Resin,主要从事生产纤维、树脂化学制品的公司。
01010206,化肥与农药,Fertilizers & Agricultural Chemicals,生产化肥、杀虫剂、碳酸钾、或者与农业有关的化学药品（未归类于别处）的公司。
01010207,其他化学制品,Other Chemicals,无
010103,建筑材料,Construction Materials,
01010301,水泥,Cement,主要从事生产水泥的公司。
01010302,玻璃,Glass,主要从事生产玻璃的公司，但不包括归类于“光电子器件”行业的玻璃生产公司。
01010303,其他建材,Other Construction Materials,无
010104,容器与包装,Containers & Packaging,
