code,name_zh,name_en,comment
A,农、林、牧、渔业,"Agriculture, Forestry, Livestock Farming, Fishery",
A1,农业,Agriculture,
A2,林业,Forestry,
A3,畜牧业,Livestock farming,
A4,渔业,Fishery,
A5,农、林、牧、渔服务业,"Service for Agriculture, forestry, livestock farm and fishery",
B,采矿业,Mining,
B6,煤炭开采和洗选业,Coal Mining and Dressing,
B7,石油和天然气开采业,Petroleum and Natural Gas Extraction,
B8,黑色金属矿采选业,Ferrous Metal Ore Mining,
B9,有色金属矿采选业,Non-ferrous Metal Ore Mining,
B10,非金属矿采选业,Non-metallic Mineral Mining,
B11,开采辅助活动,Mining Service,
B12,其他采矿业,Other Mining,
C,制造业,Manufacturing,
C13,农副食品加工业,Food Processing,
C14,食品制造业,Foodstuff Manufacturing,
C15,酒、饮料和精制茶制造业,Beverage Manufacturing,
C16,烟草制品业,Tobacco,
C17,纺织业,Textile,
C18,纺织服装、服饰业,Manufacturers of Clothes and Other Fibre Products,
C19,皮革、毛皮、羽毛及其制品和制鞋业,"Manufacturing of Leather, Fur, Feather and Other Products",
C20,木材加工和木、竹、藤、棕、草制品业,"Timber Processing and Bamboo, Cane, Palm, Straw Products",
C21,家具制造业,Furniture Manufacturing,
C22,造纸和纸制品业,Paper Making and Paper Products,
C23,印刷和记录媒介复制业,Printing,
C24,文教、工美、体育和娱乐用品制造业,"Cultural, Educational and Sports Products Manufacturing",
C25,石油加工、炼焦和核燃料加工业,Oil Processing and Refining,
C26,化学原料和化学制品制造业,Chemical Material and Products Manufacturing,
C27,医药制造业,Medicine Manufacturing,
C28,化学纤维制造业,Chemical Fibres Manufacturing,
C29,橡胶和塑料制品业,Rubber and Plastic Manufacturing,
C30,非金属矿物制品业,Non-metal Mineral Products,
C31,黑色金属冶炼和压延加工业,Ferrous Metal Foundries and Presses,
C32,有色金属冶炼和压延加工业,Non-ferrous Metal Foundries and Presses,
C33,金属制品业,Metal Products,
C34,通用设备制造业,Common Machines Manufacturing,
C35,专用设备制造业,Special Equiment Manufacturing,
C36,汽车制造业,Automobile Manufacturing,
C37,铁路、船舶、航空航天和其他运输设备制造业,"Railway, Ship, Aircraft and Spacecraft and Other Traffic Equipment Manufacturing",
C38,电气机械和器材制造业,Electric Equipment and Parts Manufacturing,
C39,计算机、通信和其他电子设备制造业,Computer、Communications and Other Electronic Equipment Manufacturing,
C40,仪器仪表制造业,"Instrument, Meter and Stationery Manufacturing",
C41,其他制造业,Other Manufacturing,
C42,废弃资源综合利用业,Waste Resources Comprehensive Utilization,
C43,金属制品、机械和设备修理业,"Metal Products, Machinery and Equipment Repair",
D,电力、热力、燃气及水生产和供应业,Utilities,
D44,电力、热力生产和供应业,"Electric Power, Steam and Hot Water Production and Supply",
D45,燃气生产和供应业,Gas Production and Supply,
D46,水的生产和供应业,Tap Water Production and Supply,
E,建筑业,Construction,
E47,房屋建筑业,Housing Construction,
E48,土木工程建筑业,Civil Engineering Works Construction,
E49,建筑安装业,Construction and Installation,
E50,建筑装饰和其他建筑业,"Building Fitting Up, Decoration and Other Construction",
F,批发和零售业,Wholesale and Retail,
F51,批发业,Wholesale,
F52,零售业,Retail,
G,交通运输、仓储和邮政业,Transportation,
G53,铁路运输业,Railway Transport,
G54,道路运输业,Highway Transport,
G55,水上运输业,Waterway Transport,
G56,航空运输业,Air Transport,
G57,管道运输业,Pipeline Transport,
G58,装卸搬运和运输代理业,"Loading, Unloading and Handling",
G59,仓储业,Storage,
G60,邮政业,Postal Service,
H,住宿和餐饮业,Hotel and Catering Industry,
H61,住宿业,Hotel industry,
H62,餐饮业,Catering industry,
I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Service",
I63,电信、广播电视和卫星传输服务,"Telecom, Radio, Television and Satellite Transmission Service",
I64,互联网和相关服务,Internet and Related Service,
I65,软件和信息技术服务业,Software and Information Technology Service,
J,金融业,Finance,
J66,货币金融服务,Currency Finance Service,
J67,资本市场服务,Capital Market Service,
J68,保险业,Insurance,
J69,其他金融业,Other Financial Industries,
K,房地产业,Real Estate,
K70,房地产业,Real Estate,
L,租赁和商务服务业,Leasing and Commerce Service,
L71,租赁业,Leasing,
L72,商务服务业,Commerce Service,
M,科学研究和技术服务业,Scientific Research and Technology Service,
M73,研究和试验发展,Research and Experiment Test,
M74,专业技术服务业,Professional Skill Services,
M75,科技推广和应用服务业,Scientific Technology Popularize and Application Service,
N,水利、环境和公共设施管理业,"Water Conservancy, Environment and Public Facilities Management",
N76,水利管理业,Water Conservancy,
N77,生态保护和环境治理业,Ecological Protection and Environment Management,
N78,公共设施管理业,Public Facilities Management,
O,居民服务、修理和其他服务业,"Resident Service, Repair and Other Service",
O79,居民服务业,Resident Service,
O80,机动车、电子产品和日用产品修理业,Repair Service,
O81,其他服务业,Other Service,
P,教育,Education,
P82,教育,Education,
Q,卫生和社会工作,Hygienism and Social Work,
Q83,卫生,Hygienism,
Q84,社会工作,Social Work,
R,文化、体育和娱乐业,"Culture, Sports and Entertainment",
R85,新闻和出版业,Press and Publication,
R86,广播、电视、电影和影视录音制作业,"Broadcasting, Movie and Television",
R87,文化艺术业,Culture and Art,
R88,体育,Sports,
R89,娱乐业,Entertainment,
S,综合,Comprehensive,
S90,综合,Comprehensive,
